Region,Registered,ACC,Ratio of ACC/Registered,,1006_classified as menacing,1007_classified as dangerous,1016_total paid (excl. GST) for injuries this yr,lat,lng,menacing/registered
Ashburton District,5384,65,1.21,,38,3,18291,-43.6983477,171.4278984,0.705794948
Auckland (Group),101467,3892,3.84,,2080,56,1177839,-36.8567161,174.7669066,2.049927563
Buller District,2352,43,1.83,,30,8,18521,-42.0330351,171.9534815,1.275510204
Carterton District,2595,27,1.04,,14,1,2296,-41.1585232,175.643487,0.539499037
Central Hawke's Bay District,5145,62,1.21,,21,0,19936,-40.0106163,176.4996546,0.408163265
Central Otago District,5678,83,1.46,,0,2,42992,-45.2828265,169.6567993,0
Christchurch City,35482,1074,3.03,,386,52,310148,-43.5320544,172.6362254,1.087875543
Clutha District,6548,45,0.69,,24,0,31107,-46.1227873,169.6378412,0.36652413
Dunedin City,16651,292,1.75,,218,5,101738,-45.8787605,170.5027976,1.309230677
Far North District,8885,319,3.59,,104,0,85949,-35.1290228,173.5070203,1.170512099
Gisborne District,10334,184,1.78,,198,14,47021,-38.1309688,178.0118473,1.916005419
Hamilton City,10557,427,4.04,,264,6,120186,-37.774985,175.1948843,2.500710429
Hastings District,9680,291,3.01,,271,3,74290,-39.3718812,176.0750211,2.799586777
Hauraki District,4304,63,1.46,,111,11,6927,-37.345463,175.643487,2.578996283
Horowhenua District,3750,105,2.8,,153,14,46325,-40.5804655,175.3136218,4.08
Hurunui District,5467,54,0.99,,20,6,9140,-42.7891728,172.7347142,0.365831352
Hutt City,8891,218,2.45,,185,38,71515,-41.2114473,174.9002665,2.08075582
Invercargill City,7985,116,1.45,,132,5,24564,-46.4131866,168.3537731,1.653099562
Kaipara District,4827,84,1.74,,29,1,38460,-36.027261,174.0167423,0.600787238
Kapiti Coast District,6950,143,2.06,,84,2,41225,-40.8233475,175.3136218,1.208633094
Mackenzie District,1618,18,1.11,,1,1,7850,-44.1357938,170.2767327,0.061804697
Manawatu District,6001,75,1.25,,112,3,11845,-40.1469349,175.684578,1.866355607
Marlborough District,9859,160,1.62,,88,8,32639,-41.57269,173.4216613,0.892585455
Masterton District,4854,113,2.33,,94,5,32786,-40.9648714,175.8486236,1.936547178
Matamata-Piako District,5051,91,1.8,,51,0,21019,-37.6450708,175.684578,1.009701049
Napier City,7054,249,3.53,,180,18,114899,-39.4928444,176.9120178,2.551743692
Nelson City,5124,149,2.91,,75,17,35842,-41.2706319,173.2839653,1.463700234
New Plymouth District,8202,207,2.52,,219,27,59971,-39.1011196,174.3542049,2.670080468
New Zealand,531158,12709,2.39,,8225,548,3734733,-40.900557,174.885971,1.548503458
Opotiki District,1440,202,14.03,,47,3,10710,-38.0072113,177.2871551,3.263888889
Otorohanga District,2304,48,2.08,,36,0,4404,-38.1778076,175.2308414,1.5625
Palmerston North City,7568,198,2.62,,144,2,55097,-40.3523065,175.6082145,1.902748414
Queenstown-Lakes District,3827,54,1.41,,20,1,24975,-45.0311622,168.6626435,0.522602561
Rangitikei District,4584,46,1,,36,1,6464,-39.6603606,175.8486236,0.785340314
Rotorua District,11043,277,2.51,,443,18,70436,-38.1368478,176.2497461,4.011591053
Ruapehu District,4269,41,0.96,,55,7,6970,-39.1452335,175.354965,1.288357929
Selwyn District,11750,72,0.61,,53,4,34145,-43.2652165,171.7787021,0.45106383
South Taranaki District,4049,56,1.38,,126,0,20110,-39.605475,174.5222189,3.111879476
South Waikato District,3739,88,2.35,,119,1,17767,-38.0594263,175.4375574,3.182669163
South Wairarapa District,2856,48,1.68,,21,2,5249,-41.2676432,175.354965,0.735294118
Southland District,12843,63,0.49,,48,12,19974,-45.8489159,167.6755387,0.373744452
Stratford District,2154,34,1.58,,13,1,4047,-39.2355447,174.564147,0.603528319
Tararua District,6466,51,0.79,,34,8,42987,-40.4848018,176.0121573,0.525827405
Tasman District,10321,112,1.09,,77,9,30092,-41.2122123,172.7347142,0.746051739
Taupo District,6446,124,1.92,,82,11,17386,-38.7554745,176.0937312,1.272106733
Tauranga City,10581,422,3.99,,131,33,92473,-37.6877975,176.1651295,1.238068236
Thames-Coromandel District,4444,118,2.66,,41,7,54642,-37.1332657,175.684578,0.922592259
Timaru District,8842,125,1.41,,51,6,22092,-44.139673,171.2518833,0.576792581
Upper Hutt City,5394,97,1.8,,57,17,39606,-41.1244327,175.0707834,1.0567297
Waikato District,13088,190,1.45,,186,4,36782,-38.0594263,175.4375574,1.421149144
Waimakariri District,11208,124,1.11,,58,10,45684,-43.3017202,172.3017728,0.517487509
Waimate District,2977,29,0.97,,23,1,4149,-44.548055,170.7214417,0.772589856
Waipa District,7241,82,1.13,,59,7,17770,-37.9780721,175.520024,0.814804585
Wairoa District,3242,47,1.45,,66,0,11490,-38.7020241,177.1422895,2.035780382
Waitaki District,5296,63,1.19,,30,8,10219,-44.9873854,170.6015009,0.566465257
Waitomo District,3789,29,0.77,,20,1,10238,-38.2615305,175.1145451,0.527843758
Wellington City,9478,265,2.8,,111,13,38446,-41.2864603,174.776236,1.17113315
Western Bay of Plenty District,8188,80,0.98,,133,13,56612,-37.8754556,176.2158497,1.624328285
Westland District,1590,19,1.19,,9,0,6907,-44.2671365,168.4751945,0.566037736
Whakatane District,5766,142,2.46,,130,13,35825,-38.0203498,176.8220341,2.254595907
Whanganui District,7575,205,2.71,,275,21,50090,-39.9300887,175.0478901,3.630363036
Whangarei District,10215,332,3.25,,30,3,74601,-35.6878586,174.1857115,0.293685756
